name;openinggross;theathers;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;genres;director_identifier;primaryName;primaryProfession;knownForTitles
Meg 2: The Trench;$30,002,735;3,503;tt9224104;movie;Meg 2: The Trench;FALSE;2023;116;Action,Adventure,Horror;nm1296554;Ben Wheatley;director,writer,producer;tt0462335,tt1788391,tt2023690,tt4158096
The Purge: Anarchy;$29,816,675;2,805;tt2975578;movie;The Purge: Anarchy;FALSE;2014;103;Action,Horror,Sci-Fi;nm0218621;James DeMonaco;writer,producer,director;tt2184339,tt2975578,tt4094724,tt6133466
Elysium;$29,807,393;3,284;tt0091005;movie;Elysium;FALSE;1987;118;Drama,War;nm0844438;Erika Szántó;script_department,writer,director;tt2900816,tt0095476,tt0388563,tt0091005
Hercules;$29,800,263;3,595;tt0050381;movie;Le fatiche di Ercole;FALSE;1958;104;Adventure,Fantasy,History;nm0290371;Pietro Francisci;director,writer,editor;tt0025496,tt0054263,tt0038645,tt0058859
Constantine;$29,769,098;3,006;tt0360486;movie;Constantine;FALSE;2005;121;Action,Fantasy,Horror;nm1349376;Francis Lawrence;director,producer,camera_department;tt0360486,tt1951265,tt0480249,tt1951264
What Lies Beneath;$29,702,959;2,813;tt0161081;movie;What Lies Beneath;FALSE;2000;130;Drama,Horror,Mystery;nm0000709;Robert Zemeckis;producer,writer,director;tt0109830,tt1907668,tt0118884,tt0088763
The Flintstones;$29,688,730;2,498;tt0109813;movie;The Flintstones;FALSE;1994;91;Comedy,Family,Fantasy;nm0505152;Brian Levant;producer,writer,director;tt0109813,tt0116705,tt0368578,tt0088616
Dark Shadows;$29,685,274;3,755;tt1077368;movie;Dark Shadows;FALSE;2012;113;Comedy,Family,Fantasy;nm0000318;Tim Burton;producer,miscellaneous,director;tt0099487,tt1142977,tt0408236,tt0121164
Daddy's Home 2;$29,651,193;3,575;tt5657846;movie;Daddy's Home 2;FALSE;2017;100;Comedy;nm1890845;Sean Anders;writer,director,producer;tt1232200,tt7401588,tt5657846,tt10999120
Creed;$29,632,823;3,404;tt1632705;movie;Creed;FALSE;2010;77;Horror;nm0565955,nm0313743;NA;NA;NA
Elemental;$29,602,429;4,035;tt15789038;movie;Elemental;FALSE;2023;101;Adventure,Animation,Comedy;nm0812307;Peter Sohn;actor,animation_department,art_department;tt0382932,tt1453405,tt1979388,tt10298810
Insidious: The Last Key;$29,581,355;3,116;tt5726086;movie;Insidious: The Last Key;FALSE;2018;103;Horror,Mystery,Thriller;nm0733263;Adam Robitel;director,actor,writer;tt9844522,tt5886046,tt3387648,tt5726086
Justin Bieber: Never Say Never;$29,514,054;3,105;tt1702443;movie;Justin Bieber: Never Say Never;FALSE;2011;105;Documentary,Music;nm0160840;Jon M. Chu;producer,writer,director;tt1583421,tt1023481,tt1702443,tt3110958
Ghostbusters II;$29,472,894;2,410;tt0097428;movie;Ghostbusters II;FALSE;1989;108;Action,Comedy,Fantasy;nm0718645;Ivan Reitman;producer,miscellaneous,director;tt0105477,tt0087332,tt1193138,tt0082509
Scooby-Doo 2: Monsters Unleashed;$29,438,331;3,312;tt0331632;movie;Scooby-Doo 2: Monsters Unleashed;FALSE;2004;93;Adventure,Comedy,Family;nm0331532;Raja Gosnell;editor,director,editorial_department;tt0267913,tt0151738,tt0208003,tt0331632
Indiana Jones and the Last Crusade;$29,355,021;2,327;tt0097576;movie;Indiana Jones and the Last Crusade;FALSE;1989;127;Action,Adventure;nm0000229;Steven Spielberg;producer,writer,director;tt0082971,tt0120815,tt0108052,tt0083866
A.I. Artificial Intelligence;$29,352,630;3,242;tt0212720;movie;A.I. Artificial Intelligence;FALSE;2001;146;Drama,Sci-Fi;nm0000229;Steven Spielberg;producer,writer,director;tt0082971,tt0120815,tt0108052,tt0083866
Now You See Me;$29,350,389;2,925;tt1670345;movie;Now You See Me;FALSE;2013;115;Crime,Mystery,Thriller;nm0504642;Louis Leterrier;director,producer,actor;tt1670345,tt0800080,tt0293662,tt5433140
Beverly Hills Chihuahua;$29,300,465;3,215;tt1014775;movie;Beverly Hills Chihuahua;FALSE;2008;91;Adventure,Comedy,Drama;nm0331532;Raja Gosnell;editor,director,editorial_department;tt0267913,tt0151738,tt0208003,tt0331632
Why Did I Get Married Too?;$29,289,537;2,155;tt1391137;movie;Why Did I Get Married Too?;FALSE;2010;121;Comedy,Drama,Romance;nm1347153;Tyler Perry;writer,director,producer;tt0422093,tt0455612,tt1142800,tt2267998
Think Like a Man Too;$29,241,911;2,225;tt2239832;movie;Think Like a Man Too;FALSE;2014;106;Comedy,Romance;nm1103162;Tim Story;director,producer,actor;tt0120667,tt0303714,tt1621045,tt0316732
The Muppets;$29,239,026;3,440;tt1204342;movie;The Muppets;FALSE;2011;120;Adventure,Comedy,Family;nm0090386;James Bobin;writer,director,producer;tt7547410,tt2281587,tt1204342,tt0863046
The Lone Ranger;$29,210,849;3,904;tt0030382;movie;The Lone Ranger;FALSE;1938;264;Western;nm0257638,nm0936823;NA;NA;NA
Eagle Eye;$29,150,721;3,510;tt1059786;movie;Eagle Eye;FALSE;2008;118;Action,Mystery,Thriller;nm0142286;D.J. Caruso;director,producer,writer;tt1464540,tt1059786,tt1293847,tt0107843
