name,openinggross,theathers
The Magnificent Seven,"$34,703,397","3,674"
The Equalizer 3,"$34,604,229","3,965"
Identity Thief,"$34,551,025","3,141"
Hellboy II: The Golden Army,"$34,539,115","3,204"
Enchanted,"$34,440,317","3,730"
Couples Retreat,"$34,286,740","3,000"
Sausage Party,"$34,263,534","3,103"
I Now Pronounce You Chuck & Larry,"$34,233,750","3,495"
Tarzan,"$34,221,968","3,005"
Ransom,"$34,216,088","2,676"
Norbit,"$34,195,434","3,136"
The Equalizer,"$34,137,828","3,236"
The Blind Side,"$34,119,372","3,110"
The Lego Movie 2: The Second Part,"$34,115,335","4,303"
Puss in Boots,"$34,077,439","3,952"
The Purge,"$34,058,360","2,536"
Lethal Weapon 4,"$34,048,124","3,117"
Cloudy with a Chance of Meatballs 2,"$34,017,930","4,001"
Get Hard,"$33,803,253","3,175"
The Devil Inside,"$33,732,515","2,285"
Think Like a Man,"$33,636,303","2,015"
The Proposal,"$33,627,598","3,056"
What Women Want,"$33,614,543","3,012"
Saw III,"$33,610,391","3,167"
Epic,"$33,531,068","3,882"
The Green Hornet,"$33,526,876","3,584"
Ted 2,"$33,507,870","3,442"
101 Dalmatians,"$33,504,025","2,794"
Wrath of the Titans,"$33,457,188","3,545"
The Haunting,"$33,435,140","2,808"
Get Out,"$33,377,060","2,781"
Live Free or Die Hard,"$33,369,559","3,408"
American Wedding,"$33,369,440","3,172"
Lethal Weapon 3,"$33,243,086","2,510"
Hustlers,"$33,181,361","3,250"
A Wrinkle in Time,"$33,123,609","3,980"
Superbad,"$33,052,411","2,948"
Tomorrowland,"$33,028,165","3,972"
Blades of Glory,"$33,014,202","3,372"
Insidious: The Red Door,"$33,013,036","3,188"
Birds of Prey,"$33,010,017","4,236"
Rush Hour,"$33,001,803","2,638"
Scream 2,"$32,926,342","2,663"
A Nightmare on Elm Street,"$32,902,299","3,332"
Dark Phoenix,"$32,828,348","3,721"
The Book of Eli,"$32,789,494","3,111"
Blade Runner 2049,"$32,753,122","4,058"
Where the Wild Things Are,"$32,695,407","3,735"
Due Date,"$32,689,406","3,355"
The Nun II,"$32,603,336","3,728"
Blade II,"$32,528,016","2,707"
The Maze Runner,"$32,512,804","3,604"
Spy Kids 3: Game Over,"$32,500,000","3,344"
Hannah Montana: The Movie,"$32,324,487","3,118"
Mr. Peabody & Sherman,"$32,207,057","3,934"
Immortals,"$32,206,425","3,112"
Wedding Crashers,"$32,200,000","2,925"
Elf,"$32,100,000","3,337"
Jackass Presents: Bad Grandpa,"$32,055,177","3,336"
The SpongeBob SquarePants Movie,"$32,018,216","3,212"
Paul Blart: Mall Cop,"$31,832,636","3,144"
Terminator 2: Judgment Day,"$31,765,506","2,274"
Saw IV,"$31,756,764","3,183"
Saw II,"$31,725,652","2,949"
G-Force,"$31,706,934","3,697"
The Mummy,"$31,688,375","4,035"
Godzilla vs. Kong,"$31,625,971","3,064"
Bad Teacher,"$31,603,106","3,049"
The Truman Show,"$31,542,121","2,315"
The Purge: Election Year,"$31,515,110","2,796"
The Wolfman,"$31,479,235","3,222"
Ford v Ferrari,"$31,474,958","3,528"
Liar Liar,"$31,423,025","2,845"
Percy Jackson & the Olympians: The Lightning Thief,"$31,236,067","3,356"
Elvis,"$31,211,579","3,906"
Girls Trip,"$31,201,920","2,591"
Evan Almighty,"$31,192,615","3,604"
The Sum of All Fears,"$31,178,526","3,183"
Home Alone 2: Lost in New York,"$31,126,882","2,222"
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$31,117,834",683
Bringing Down the House,"$31,101,026","2,801"
Four Christmases,"$31,069,826","3,310"
Space Jam: A New Legacy,"$31,053,362","3,965"
Into the Woods,"$31,051,923","2,440"
Pokémon: The First Movie - Mewtwo Strikes Back,"$31,036,678","3,043"
Downton Abbey,"$31,033,665","3,079"
Sex and the City 2,"$31,001,870","3,445"
Step Brothers,"$30,940,732","3,094"
Little Fockers,"$30,833,665","3,536"
Star Trek: First Contact,"$30,716,131","2,812"
Knocked Up,"$30,690,990","2,871"
The Dukes of Hazzard,"$30,675,314","3,785"
Unbroken,"$30,621,445","3,131"
Brüno,"$30,619,130","2,756"
Saving Private Ryan,"$30,576,104","2,463"
The Pacifier,"$30,552,694","3,131"
Bram Stoker's Dracula,"$30,521,679","2,491"
The Happening,"$30,517,109","2,986"
Just Go with It,"$30,514,732","3,548"
The Day the Earth Stood Still,"$30,480,153","3,560"
Dear John,"$30,468,614","2,969"
The Lost City,"$30,453,269","4,253"
John Wick: Chapter 2,"$30,436,123","3,113"
Night at the Museum,"$30,433,781","3,685"
M3GAN,"$30,429,860","3,509"
