"name","openinggross","theathers","tconst","titleType","originalTitle","isAdult","startYear","runtimeMinutes","genres","nconst","primaryName","primaryProfession","knownForTitles"
"Bringing Down the House","$31,101,026",2801,"tt0305669","movie","Bringing Down the House",FALSE,2003,105,"Comedy","nm0788202","Adam Shankman","producer,miscellaneous,director","tt0281358,tt1336608,tt0452598,tt0427327"
"Four Christmases","$31,069,826",3310,"tt0369436","movie","Four Christmases",FALSE,2008,88,"Comedy,Drama,Romance","nm1164861","Seth Gordon","producer,director,miscellaneous","tt13320622,tt2120120,tt1152822,tt0384286"
"Space Jam: A New Legacy","$31,053,362",3965,"tt15034870","tvEpisode","Space Jam: A New Legacy",FALSE,2021,NA,"Talk-Show","\N",NA,NA,NA
"Into the Woods","$31,051,923",2440,"tt0099851","tvEpisode","Into the Woods",FALSE,1991,151,"Comedy,Drama,Romance","nm0487567","James Lapine","writer,director,miscellaneous","tt0165042,tt0176357,tt2180411,tt1718926"
"Pokémon: The First Movie - Mewtwo Strikes Back","$31,036,678",3043,"tt0190641","movie","Gekijô-ban poketto monsutâ - Myûtsû no gyakushû",FALSE,1998,96,"Action,Adventure,Animation","nm0951197","Kunihiko Yuyama","director,art_department,writer","tt5912052,tt14940406,tt26669867,tt0190641"
"Downton Abbey","$31,033,665",3079,"tt1606375","tvSeries","Downton Abbey",FALSE,2010,58,"Drama,Romance","nm1093053,nm0262678,nm0257554,nm0323758,nm1353167,nm0668887,nm1326093,nm0446232,nm1113890,nm2007278,nm0819083,nm0607701,nm0355542,nm0093322",NA,NA,NA
"Sex and the City 2","$31,001,870",3445,"tt1261945","movie","Sex and the City 2",FALSE,2010,146,"Comedy,Drama,Romance","nm0455078","Michael Patrick King","producer,writer,director","tt1000774,tt1261945,tt0159206,tt0434672"
"Step Brothers","$30,940,732",3094,"tt0838283","movie","Step Brothers",FALSE,2008,98,"Comedy","nm0570912","Adam McKay","producer,writer,director","tt1596363,tt11286314,tt1386588,tt6266538"
"Little Fockers","$30,833,665",3536,"tt0970866","movie","Little Fockers",FALSE,2010,98,"Comedy,Romance","nm0919369","Paul Weitz","producer,writer,director","tt0450405,tt4270516,tt0276751,tt0385267"
"Star Trek: First Contact","$30,716,131",2812,"tt0117731","movie","Star Trek: First Contact",FALSE,1996,111,"Action,Adventure,Drama","nm0000408","Jonathan Frakes","actor,director,producer","tt0120844,tt0111280,tt0253754,tt0117731"
"Knocked Up","$30,690,990",2871,"tt0434127","video","Knocked Up",TRUE,2002,90,"Adult","nm1537649","Paul Morris","producer,director,editor","tt0924423,tt0924424,tt11783140,tt7365812"
"The Dukes of Hazzard","$30,675,314",3785,"tt0078607","tvSeries","The Dukes of Hazzard",FALSE,1979,60,"Action,Comedy","nm0062656,nm0568228,nm0607612,nm0595229,nm0701500,nm0024120,nm0926146,nm0282644,nm0941374,nm0728306,nm0842093,nm0791027,nm0095368,nm0128434,nm0078940,nm0481775,nm0823630,nm0038906,nm0165418,nm0101055,nm0002195,nm0056191,nm0446059,nm0684719,nm0766191,nm0907296,nm0548769,nm0064593,nm0912947,nm0568535,nm0773884,nm0186091",NA,NA,NA
"Unbroken","$30,621,445",3131,"tt0384635","short","Unbroken",FALSE,2003,6,"Drama,Short","nm1026778","Brad Furman","director,producer,writer","tt1355631,tt1189340,tt2677722"
"Brüno","$30,619,130",2756,"tt0889583","movie","Brüno",FALSE,2009,81,"Comedy","nm0153078","Larry Charles","producer,writer,director","tt0098904,tt0264235,tt0889583,tt1645170"
"Saving Private Ryan","$30,576,104",2463,"tt0120815","movie","Saving Private Ryan",FALSE,1998,169,"Drama,War","nm0000229","Steven Spielberg","producer,writer,director","tt0108052,tt0082971,tt0083866,tt0120815"
"The Pacifier","$30,552,694",3131,"tt0395699","movie","The Pacifier",FALSE,2005,95,"Action,Comedy,Drama","nm0788202","Adam Shankman","producer,miscellaneous,director","tt0281358,tt1336608,tt0452598,tt0427327"
"Bram Stoker's Dracula","$30,521,679",2491,"tt0103874","movie","Bram Stoker's Dracula",FALSE,1992,128,"Drama,Fantasy,Horror","nm0000338","Francis Ford Coppola","producer,director,writer","tt0068646,tt0071360,tt0071562,tt0078788"
"The Happening","$30,517,109",2986,"tt0061748","movie","The Happening",FALSE,1967,101,"Comedy","nm0799033","Elliot Silverstein","director,miscellaneous,actor","tt0059017,tt0053534,tt0066049,tt0075809"
"Just Go with It","$30,514,732",3548,"tt1564367","movie","Just Go with It",FALSE,2011,117,"Comedy,Romance","nm0240797","Dennis Dugan","actor,director,producer","tt0960144,tt0077070,tt0142342,tt0116483"
"The Day the Earth Stood Still","$30,480,153",3560,"tt0043456","movie","The Day the Earth Stood Still",FALSE,1951,92,"Drama,Sci-Fi","nm0936404","Robert Wise","director,producer,editor","tt0055614,tt0066769,tt0079945,tt0059742"
"Dear John","$30,468,614",2969,"tt0058281","movie","Käre John",FALSE,1964,111,"Drama,Romance","nm0511837","Lars-Magnus Lindgren","director,writer","tt0055647,tt0063658,tt0061125,tt0058281"
"The Lost City","$30,453,269",4253,"tt0011413","movie","The Lost City",FALSE,1920,300,"Action,Adventure","nm0552228","E.A. Martin","director,writer,actor","tt0221265,tt0011413,tt0002862,tt0012463"
"John Wick: Chapter 2","$30,436,123",3113,"tt16366174","tvEpisode","John Wick: Chapter 2",FALSE,2021,NA,"Comedy","\N",NA,NA,NA
"Night at the Museum","$30,433,781",3685,"tt0477347","movie","Night at the Museum",FALSE,2006,108,"Adventure,Comedy,Family","nm0506613","Shawn Levy","producer,director,actor","tt2543164,tt6264654,tt2463208,tt1714206"
"M3GAN","$30,429,860",3509,"tt23061132","tvEpisode","M3GAN",FALSE,2023,NA,"Comedy","nm2302136","Max Dionne","director,producer,editor","tt1186370,tt2610260,tt0389790,tt5096802"
"Olympus Has Fallen","$30,373,794",3098,"tt2302755","movie","Olympus Has Fallen",FALSE,2013,119,"Action,Thriller","nm0298807","Antoine Fuqua","producer,director,actor","tt1798684,tt0455944,tt0139654,tt2404435"
"Unbreakable","$30,330,771",2708,"tt0217869","movie","Unbreakable",FALSE,2000,106,"Drama,Mystery,Sci-Fi","nm0796117","M. Night Shyamalan","producer,director,writer","tt0286106,tt0368447,tt0452637,tt0167404"
"Maze Runner: The Scorch Trials","$30,316,510",3791,"tt13477142","tvEpisode","Maze Runner: The Scorch Trials",FALSE,2018,NA,"Talk-Show","\N",NA,NA,NA
"Cloudy with a Chance of Meatballs","$30,304,648",3119,"tt0844471","movie","Cloudy with a Chance of Meatballs",FALSE,2009,90,"Adventure,Animation,Comedy","nm0520488,nm0588087",NA,NA,NA
"The Addams Family","$30,300,007",4007,"tt0057729","tvSeries","The Addams Family",FALSE,1964,30,"Comedy,Family,Horror","nm0485647,nm0394409,nm0758508,nm0946391,nm0002137,nm0523893,nm0587804,nm0674759,nm0156116",NA,NA,NA
"America's Sweethearts","$30,181,877",3011,"tt0265029","movie","America's Sweethearts",FALSE,2001,102,"Comedy,Romance","nm0005387","Joe Roth","producer,director,miscellaneous","tt0356618,tt0427309,tt1587310,tt0314353"
"John Carter","$30,180,188",3749,"tt0401729","movie","John Carter",FALSE,2012,132,"Action,Adventure,Sci-Fi","nm0004056","Andrew Stanton","writer,actor,producer","tt0910970,tt0266543,tt2277860,tt0120623"
"The Lion King2011 3D Release","$30,151,614",2330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The X Files","$30,138,758",2629,"tt0120902","movie","The X Files",FALSE,1998,121,"Drama,Mystery,Sci-Fi","nm0101385","Rob Bowman","producer,director,actor","tt0253556,tt0120902,tt0106179,tt0357277"
"Django Unchained","$30,122,888",3010,"tt12008222","tvEpisode","Django Unchained",FALSE,2012,NA,"Talk-Show","nm6023997","Jeremy Jahns","writer,producer,director","tt21027596,tt7017872,tt4518412,tt10510240"
"Shazam! Fury of the Gods","$30,111,158",4071,"tt10151854","movie","Shazam! Fury of the Gods",FALSE,2023,130,"Action,Adventure,Comedy","nm2497546","David F. Sandberg","director,writer,actor","tt3605002,tt5140878,tt4786282,tt0448115"
"The Best Man Holiday","$30,107,555",2024,"tt2083355","movie","The Best Man Holiday",FALSE,2013,123,"Comedy,Drama","nm0002700","Malcolm D. Lee","writer,director,producer","tt0168501,tt14022728,tt2083355,tt3564472"
"Trainwreck","$30,097,040",3158,"tt0923820","short","Náraz",FALSE,2001,17,"Short","nm2500481","Michal Sedlácek","director,writer,editor","tt0923820,tt3696122"
"Prince of Persia: The Sands of Time","$30,095,259",3646,"tt0384444","videoGame","Prince of Persia: The Sands of Time",FALSE,2003,NA,"Action,Adventure,Fantasy","\N",NA,NA,NA
"Dodgeball: A True Underdog Story","$30,070,196",2694,"tt0364725","movie","Dodgeball: A True Underdog Story",FALSE,2004,92,"Comedy,Sport","nm1098493","Rawson Marshall Thurber","director,producer,writer","tt7991608,tt1282140,tt5758778,tt0364725"
"A Series of Unfortunate Events","$30,061,756",3620,"tt0339291","movie","A Series of Unfortunate Events",FALSE,2004,108,"Adventure,Comedy,Family","nm0797869","Brad Silberling","producer,director,writer","tt0339291,tt0179098,tt0112642,tt0120632"
"Sleepy Hollow","$30,060,467",3064,"tt0162661","movie","Sleepy Hollow",FALSE,1999,105,"Fantasy,Horror,Mystery","nm0000318","Tim Burton","producer,miscellaneous,director","tt1142977,tt0408236,tt0121164,tt0099487"
"Panic Room","$30,056,751",3053,"tt0258000","movie","Panic Room",FALSE,2002,112,"Crime,Drama,Thriller","nm0000399","David Fincher","producer,director,writer","tt0443706,tt2267998,tt1285016,tt0114369"
"The Exorcism of Emily Rose","$30,054,300",2981,"tt0404032","movie","The Exorcism of Emily Rose",FALSE,2005,119,"Drama,Horror,Thriller","nm0220600","Scott Derrickson","producer,director,writer","tt7144666,tt2377322,tt1211837,tt1922777"
"Saw V","$30,053,954",3060,"tt1132626","movie","Saw V",FALSE,2008,92,"Horror,Thriller","nm0352524","David Hackl","production_designer,director,producer","tt1132626,tt1694021,tt3727202,tt7615052"
"Catch Me If You Can","$30,053,627",3156,"tt0097029","movie","Catch Me If You Can",FALSE,1989,106,"Action,Comedy,Drama","nm0814085","Stephen Sommers","producer,writer,director","tt0120616,tt1046173,tt1767354,tt0118956"
